bandwidth,rate,product,power
100.00,1.00,100.00,0.16
100.00,2.00,200.00,0.17
100.00,4.00,400.00,0.18
100.00,5.00,500.00,0.17
100.00,8.00,800.00,0.18
100.00,10.00,1000.00,0.17
100.00,20.00,2000.00,0.18
100.00,50.00,5000.00,0.18
200.00,1.00,200.00,0.18
200.00,2.00,400.00,0.17
200.00,4.00,800.00,0.18
200.00,5.00,1000.00,0.18
200.00,8.00,1600.00,0.19
200.00,10.00,2000.00,0.19
200.00,20.00,4000.00,0.12
200.00,50.00,10000.00,0.10
500.00,1.00,500.00,0.09
500.00,2.00,1000.00,0.08
500.00,4.00,2000.00,0.12
500.00,5.00,2500.00,0.13
500.00,8.00,4000.00,0.13
500.00,10.00,5000.00,0.13
500.00,20.00,10000.00,0.13
500.00,50.00,25000.00,0.12
1000.00,1.00,1000.00,0.08
1000.00,2.00,2000.00,0.10
1000.00,4.00,4000.00,0.10
1000.00,5.00,5000.00,0.11
1000.00,8.00,8000.00,0.11
1000.00,10.00,10000.00,0.13
1000.00,20.00,20000.00,0.12
1000.00,50.00,50000.00,0.13
2000.00,1.00,2000.00,0.10
2000.00,2.00,4000.00,0.08
2000.00,4.00,8000.00,0.09
2000.00,5.00,10000.00,0.10
2000.00,8.00,16000.00,0.11
2000.00,10.00,20000.00,0.12
2000.00,20.00,40000.00,0.14
2000.00,50.00,100000.00,0.16
5000.00,1.00,5000.00,0.09
5000.00,2.00,10000.00,0.11
5000.00,4.00,20000.00,0.08
5000.00,5.00,25000.00,0.09
5000.00,8.00,40000.00,0.10
5000.00,10.00,50000.00,0.14
5000.00,20.00,100000.00,0.15
5000.00,50.00,250000.00,0.21
10000.00,1.00,10000.00,0.08
10000.00,2.00,20000.00,0.08
10000.00,4.00,40000.00,0.09
10000.00,5.00,50000.00,0.12
10000.00,8.00,80000.00,0.11
10000.00,10.00,100000.00,0.10
10000.00,20.00,200000.00,0.13
10000.00,50.00,500000.00,0.20
20000.00,1.00,20000.00,0.08
20000.00,2.00,40000.00,0.08
20000.00,4.00,80000.00,0.09
20000.00,5.00,100000.00,0.10
20000.00,8.00,160000.00,0.10
20000.00,10.00,200000.00,0.15
20000.00,20.00,400000.00,0.13
20000.00,50.00,1000000.00,0.20
50000.00,1.00,50000.00,0.08
50000.00,2.00,100000.00,0.08
50000.00,4.00,200000.00,0.09
50000.00,5.00,250000.00,0.09
50000.00,8.00,400000.00,0.09
50000.00,10.00,500000.00,0.12
50000.00,20.00,1000000.00,0.13
50000.00,50.00,2500000.00,0.20
100000.00,1.00,100000.00,0.07
100000.00,2.00,200000.00,0.09
100000.00,4.00,400000.00,0.08
100000.00,5.00,500000.00,0.09
100000.00,8.00,800000.00,0.10
100000.00,10.00,1000000.00,0.11
100000.00,20.00,2000000.00,0.12
100000.00,50.00,5000000.00,0.19
